,Company,Country,CreatedDate,Ticker,Quantity,Stock_Price,Invested_Value,ESGScore
600,JinkoSolar Holding Co Ltd,Cayman Islands,11/11/2020,JKS,10000,68.73999786,687399.9786,0.396825397
710,JinkoSolar Holding Co Ltd,Cayman Islands,1/21/2021,JKS,10000,68.98000336,689800.0336,0.396825397
820,JinkoSolar Holding Co Ltd,Cayman Islands,3/3/2021,JKS,10000,52.18000031,521800.0031,0.396825397
932,JinkoSolar Holding Co Ltd,Cayman Islands,4/1/2021,JKS,10000,42.81000137,428100.0137,0.396825397
1044,JinkoSolar Holding Co Ltd,Cayman Islands,5/3/2021,JKS,10000,37.74000168,377400.0168,0.396825397
1161,JinkoSolar Holding Co Ltd,Cayman Islands,7/15/2021,JKS,10000,63.0,630000.0,0.396825397
1278,JinkoSolar Holding Co Ltd,Cayman Islands,8/9/2021,JKS,10000,58.59000015,585900.0015,0.396825397
1397,JinkoSolar Holding Co Ltd,Cayman Islands,9/2/2021,JKS,10000,55.99000168,559900.0168,0.396825397
1519,JinkoSolar Holding Co Ltd,Cayman Islands,9/9/2021,JKS,10000,49.68000031,496800.0031,0.396825397
1643,JinkoSolar Holding Co Ltd,Cayman Islands,10/19/2021,JKS,10000,56.31999969,563199.9969,0.396825397
1767,JinkoSolar Holding Co Ltd,Cayman Islands,10/29/2021,JKS,10000,62.0,620000.0,0.396825397
10720,Commerce Energy Group Inc,United States,4/14/2020,CMNR,10000,0.0001,0.999999975,0.361111111
10793,Commerce Energy Group Inc,United States,5/19/2020,CMNR,10000,0.0005,5.000000237,0.361111111
10866,Commerce Energy Group Inc,United States,6/10/2020,CMNR,10000,0.0004,3.999999899,0.361111111
10939,Commerce Energy Group Inc,United States,7/16/2020,CMNR,10000,0.0013,13.00000004,0.361111111
11012,Commerce Energy Group Inc,United States,8/11/2020,CMNR,10000,0.0013,13.00000004,0.361111111
11085,Commerce Energy Group Inc,United States,9/28/2020,CMNR,10000,0.0014,13.9999995,0.361111111
11158,Commerce Energy Group Inc,United States,11/11/2020,CMNR,10000,0.0006,6.000000285,0.361111111
11231,Commerce Energy Group Inc,United States,1/21/2021,CMNR,10000,0.0009,8.999999845,0.361111111
11304,Commerce Energy Group Inc,United States,3/3/2021,CMNR,10000,0.008,80.0000038,0.361111111
11377,Commerce Energy Group Inc,United States,4/1/2021,CMNR,10000,0.008,80.0000038,0.361111111
467,China Hongqiao Group Ltd,Cayman Islands,9/28/2020, CHHQF,10000,1.100000024,11000.00024,0.396825397
571,China Hongqiao Group Ltd,Cayman Islands,11/11/2020, CHHQF,10000,1.100000024,11000.00024,0.396825397
679,China Hongqiao Group Ltd,Cayman Islands,1/21/2021, CHHQF,10000,1.100000024,11000.00024,0.396825397
789,China Hongqiao Group Ltd,Cayman Islands,3/3/2021, CHHQF,10000,1.340000033,13400.00033,0.396825397
900,China Hongqiao Group Ltd,Cayman Islands,4/1/2021, CHHQF,10000,1.340000033,13400.00033,0.396825397
