Ticker,CreatedDate,Quantity,Stock_Price,Invested_Value,ESGScore,Climate,Country,Company,Latitude
MANU,10/19/2022,10000,12.98999977,129899.9977,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,11-09-2022,10000,13.14999962,131499.9962,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,12/16/2022,10000,21.90999985,219099.9985,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,1/27/2023,10000,23.13999939,231399.9939,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,02-08-2023,10000,24.5,245000,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MANU,03-09-2023,10000,21.79999924,217999.9924,0.396825397,GenderEquality,Cayman Islands,Manchester United PLC,20.3484
MAS,4/14/2020,10000,40.36999893,403699.9893,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,5/19/2020,10000,45.95000076,459500.0076,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,06-10-2020,10000,48.16999817,481699.9817,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,7/16/2020,10000,52.40000153,524000.0153,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,08-11-2020,10000,58.65000153,586500.0153,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,9/28/2020,10000,57.02000046,570200.0046,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,11-11-2020,10000,54.75999832,547599.9832,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,1/21/2021,10000,59.15000153,591500.0153,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,03-03-2021,10000,54.09000015,540900.0015,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,04-01-2021,10000,61.00999832,610099.9832,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,05-03-2021,10000,65.41999817,654199.9817,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,7/15/2021,10000,58.88999939,588899.9939,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,08-09-2021,10000,60.18999863,601899.9863,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,09-02-2021,10000,61.77999878,617799.9878,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,10/19/2021,10000,60.65999985,606599.9985,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,12/14/2021,10000,68.38999939,683899.9939,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,1/25/2022,10000,64.05000305,640500.0305,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,2/16/2022,10000,58.86000061,588600.0061,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,3/16/2022,10000,57.43999863,574399.9863,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,04-11-2022,10000,50.90000153,509000.0153,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,7/15/2022,10000,53.95999908,539599.9908,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,08-08-2022,10000,53.68999863,536899.9863,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,9/14/2022,10000,49.61000061,496100.0061,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,10/19/2022,10000,48.18000031,481800.0031,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,11-09-2022,10000,45.61000061,456100.0061,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,12/16/2022,10000,48.38000107,483800.0107,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,1/27/2023,10000,51.31000137,513100.0137,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,02-08-2023,10000,54.5,545000,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MAS,03-09-2023,10000,52.43000031,524300.0031,0.396825397,GenderEquality,Cayman Islands,Melco Resorts and Entertainment Ltd,20.3484
MCHA,4/14/2020,10000,0.100000001,1000.00001,0,GenderEquality,France,Michelin,20.3484
MCHA,5/19/2020,10000,0.100000001,1000.00001,0,GenderEquality,France,Michelin,20.3484
MCHA,06-10-2020,10000,0.324999988,3249.99988,0,GenderEquality,France,Michelin,20.3484
MCHA,7/16/2020,10000,0.100000001,1000.00001,0,GenderEquality,France,Michelin,20.3484
MCHA,08-11-2020,10000,0.238999993,2389.99993,0,GenderEquality,France,Michelin,20.3484
MCHA,9/28/2020,10000,0.079999998,799.99998,0,GenderEquality,France,Michelin,20.3484
MCHA,11-11-2020,10000,0.100000001,1000.00001,0,GenderEquality,France,Michelin,20.3484
MCHA,1/21/2021,10000,0.059999999,599.99999,0,GenderEquality,France,Michelin,20.3484
MCHA,03-03-2021,10000,0.11665,1166.5,0,GenderEquality,France,Michelin,20.3484
MCHA,04-01-2021,10000,0.999499977,9994.99977,0,GenderEquality,France,Michelin,20.3484
MCHA,05-03-2021,10000,0.082000002,820.00002,0,GenderEquality,France,Michelin,20.3484
MCHA,7/15/2021,10000,0.083099999,830.99999,0,GenderEquality,France,Michelin,20.3484
MCHA,08-09-2021,10000,0.0039,39,0,GenderEquality,France,Michelin,20.3484
MCHA,09-02-2021,10000,0.0057,57,0,GenderEquality,France,Michelin,20.3484
MCHA,10/19/2021,10000,0.016000001,160.00001,0,GenderEquality,France,Michelin,20.3484
MCHA,12/14/2021,10000,0.0073,73,0,GenderEquality,France,Michelin,20.3484
MCHA,1/25/2022,10000,0.0081,81,0,GenderEquality,France,Michelin,20.3484
MCHA,2/16/2022,10000,0.0081,81,0,GenderEquality,France,Michelin,20.3484
MCHA,3/16/2022,10000,0.0091,91,0,GenderEquality,France,Michelin,20.3484
MCHA,04-11-2022,10000,0.0091,91,0,GenderEquality,France,Michelin,20.3484
MCHA,7/15/2022,10000,1.00E-05,0.1,0.396825397,GenderEquality,France,Michelin,20.3484
MCHA,08-08-2022,10000,1.00E-05,0.1,0.396825397,GenderEquality,France,Michelin,20.3484
MCHA,9/14/2022,10000,1.00E-05,0.1,0.396825397,GenderEquality,France,Michelin,20.3484
MCHA,10/19/2022,10000,1.00E-05,0.1,0.396825397,GenderEquality,France,Michelin,20.3484
MCHA,11-09-2022,10000,1.00E-04,1,0.396825397,GenderEquality,France,Michelin,20.3484
